detuning_ghz,fluence_mw_us,mode,minimum_snr,initial_snr,final_depletion_accepted_snr,depletion_limited_frames,usable_frames,stopping_reason,post_sequence_loss,next_pulse_loss,n_gamma,reabsorption_fraction,kappa_F,numerical_aperture,read_noise_electrons_per_pixel_per_port
0.84375,190,Faraday dual-port,8,21.5270379974,21.5270379974,1,1,depletion,0.198267842266,0.393183082081,0.0397733150999,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,195,Faraday dark-field,8,11.590823716,11.590823716,1,1,depletion,0.20343889161,0.403354116924,0.0408199812867,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,195,Faraday dual-port,8,21.8090376135,21.8090376135,1,1,depletion,0.20343889161,0.403354116924,0.0408199812867,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,200,Faraday dark-field,8,11.7498837944,11.7498837944,1,1,depletion,0.208607626924,0.413516644528,0.0418666474735,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,200,Faraday dual-port,8,22.0874371747,22.0874371747,1,1,depletion,0.208607626924,0.413516644528,0.0418666474735,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,205,Faraday dark-field,8,11.9068608693,11.9068608693,1,1,depletion,0.213774053379,0.423670700353,0.0429133136604,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,205,Faraday dual-port,8,22.3623711333,22.3623711333,1,1,depletion,0.213774053379,0.423670700353,0.0429133136604,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,210,Faraday dark-field,8,12.061833544,12.061833544,1,1,depletion,0.21893817612,0.433816319594,0.0439599798472,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,210,Faraday dual-port,8,22.6339657755,22.6339657755,1,1,depletion,0.21893817612,0.433816319594,0.0439599798472,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,215,Faraday dark-field,8,12.214875652,12.214875652,1,1,depletion,0.224100000275,0.443953537182,0.0450066460341,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,215,Faraday dual-port,8,22.9023398992,22.9023398992,1,1,depletion,0.224100000275,0.443953537182,0.0450066460341,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,220,Faraday dark-field,8,12.3660566496,12.3660566496,1,1,depletion,0.229259530951,0.45408238779,0.0460533122209,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,220,Faraday dual-port,8,23.1676054212,23.1676054212,1,1,depletion,0.229259530951,0.45408238779,0.0460533122209,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,225,Faraday dark-field,8,12.5154419676,12.5154419676,1,1,depletion,0.234416773234,0.464202905833,0.0470999784077,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,225,Faraday dual-port,8,23.4298679229,23.4298679229,1,1,depletion,0.234416773234,0.464202905833,0.0470999784077,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,230,Faraday dark-field,8,12.663093328,12.663093328,1,1,depletion,0.239571732189,0.474315125475,0.0481466445946,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,230,Faraday dual-port,8,23.6892271408,23.6892271408,1,1,depletion,0.239571732189,0.474315125475,0.0481466445946,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,235,Faraday dark-field,8,12.8090690296,12.8090690296,1,1,depletion,0.244724412862,0.484419080624,0.0491933107814,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,235,Faraday dual-port,8,23.9457774102,23.9457774102,1,1,depletion,0.244724412862,0.484419080624,0.0491933107814,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,240,Faraday dark-field,8,12.9534242058,12.9534242058,1,1,depletion,0.249874820279,0.494514804943,0.0502399769683,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,240,Faraday dual-port,8,24.1996080657,24.1996080657,1,1,depletion,0.249874820279,0.494514804943,0.0502399769683,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,245,Faraday dark-field,8,13.0962110586,13.0962110586,1,1,depletion,0.255022959446,0.504602331849,0.0512866431551,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,245,Faraday dual-port,8,24.4508038048,24.4508038048,1,1,depletion,0.255022959446,0.504602331849,0.0512866431551,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,250,Faraday dark-field,8,13.2374790706,13.2374790706,1,1,depletion,0.260168835348,0.514681694512,0.0523333093419,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,250,Faraday dual-port,8,24.699445018,24.699445018,1,1,depletion,0.260168835348,0.514681694512,0.0523333093419,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,255,Faraday dark-field,8,13.3772751979,13.3772751979,1,1,depletion,0.265312452952,0.524752925866,0.0533799755288,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,255,Faraday dual-port,8,24.9456080893,24.9456080893,1,1,depletion,0.265312452952,0.524752925866,0.0533799755288,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,260,Faraday dark-field,8,13.5156440458,13.5156440458,1,1,depletion,0.270453817204,0.534816058604,0.0544266417156,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,260,Faraday dual-port,8,25.1893656703,25.1893656703,1,1,depletion,0.270453817204,0.534816058604,0.0544266417156,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,265,Faraday dark-field,8,13.6526280293,13.6526280293,1,1,depletion,0.275592933032,0.544871125182,0.0554733079024,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,265,Faraday dual-port,8,25.4307869306,25.4307869306,1,1,depletion,0.275592933032,0.544871125182,0.0554733079024,0.0867489724436,-0.494505494505,0.13,0.7
